Time, Temp (degC),P (bar),Vwind(knots),heading(deg)
00:00,14.8161785102,1.09012708113,8.42988434009,314.0
00:01,16.7051557873,1.07281262573,18.3009538458,313.0
00:02,20.5739693462,0.859227370421,14.2110882091,382.0
00:03,18.7653804762,0.936446805906,18.5112000772,344.0
00:04,15.353847861,0.913581926035,12.7787278168,376.0
00:05,18.1928522261,1.0902944607,15.8604578305,318.0
00:06,14.3290293904,1.1013223638,10.5503370479,386.0
00:07,14.8015407815,1.1227851078,0.77795308777,365.0
00:08,17.122747104,1.11185224845,1.23516791502,371.0
00:09,16.2395366428,0.868166453485,13.0705216509,353.0
00:10,18.6146987825,1.12096652172,4.61728683874,346.0
00:11,21.8309270916,1.14047145415,6.13265216253,389.0
00:12,20.9543107563,0.925620940953,16.675699572,318.0
00:13,13.3468660014,1.04064222219,5.42555453495,361.0
00:14,19.1075468327,1.11885626946,19.1425549197,376.0
00:15,21.0775086088,0.920673962323,19.8465834223,383.0
00:16,20.4705637067,1.1306159765,4.82466212452,359.0
00:17,12.4485369148,0.934388829832,16.6785505309,321.0
00:18,17.3837083805,1.0918598224,3.27363773475,373.0
00:19,18.4253123326,1.25712223409,11.3878213928,367.0
00:20,20.3653679281,1.18171862726,19.9680624117,352.0
00:21,17.9503550075,0.892782867036,17.4804965651,345.0
00:22,15.860391355,1.16721157803,13.5698909304,321.0
00:23,18.9157705661,1.26933135318,2.74433827116,355.0
00:24,19.0093924149,0.877115928993,5.7188054746,345.0
00:25,12.7799040007,0.987790668733,6.1835053746,314.0
00:26,15.9381959259,0.823231504402,7.03623382611,358.0
00:27,16.2218063278,1.19872902651,8.51975450133,352.0
00:28,14.44962162,0.920881511603,16.5210290072,366.0
00:29,15.8144765264,1.19587164165,15.8649008568,344.0
00:30,20.0581231987,0.890068480322,8.56266000909,341.0
00:31,15.274005408,1.28296933629,13.9957800633,321.0
00:32,13.7385106752,1.00482562826,5.48078611487,383.0
00:33,22.0142019511,1.28980351073,3.71519284011,353.0
00:34,12.410183491,1.17364276645,16.1793618886,321.0
00:35,20.2863909195,0.985315429138,11.0320653326,375.0
00:36,21.8174508174,0.971086187707,9.01514144812,353.0
00:37,13.1659505641,0.896997041535,1.13122375457,372.0
00:38,18.7568426362,1.11741085951,12.645058962,391.0
00:39,17.3267064836,0.947007329011,16.6723631082,338.0
00:40,21.5053861797,1.20357249508,12.4534902707,357.0
00:41,14.5032456828,0.948618322684,1.0982516592,321.0
00:42,22.0221747818,1.17532249254,4.4034022863,327.0
00:43,19.840271732,0.866777573526,8.77865238626,328.0
00:44,14.9084848584,0.937907577922,13.5370685367,329.0
00:45,17.7154490564,1.0287112816,13.7214854517,351.0
00:46,12.4787529646,0.92032687628,14.4518794442,318.0
00:47,19.6281748947,0.906081504294,15.9633352712,379.0
00:48,15.3971308045,0.832464746945,12.6134808393,357.0
00:49,16.9135506598,1.09271977112,0.0307564568033,377.0
00:50,12.5606189661,1.14150087166,9.9226968486,326.0
00:51,21.5421232908,1.28821282103,15.787678452,349.0
00:52,13.1400609381,1.10910005439,9.30100194589,352.0
00:53,16.5569111502,0.862716964076,0.728422823212,320.0
00:54,19.8876386608,1.0026860418,2.17564695323,379.0
00:55,12.8231568116,1.12085909207,7.00124836401,337.0
00:56,13.5147561734,0.925850403539,18.3644178084,330.0
00:57,15.928483592,1.14791495773,5.27197585451,373.0
00:58,13.4200133516,1.18622435951,4.18722037756,332.0
00:59,18.8682047444,1.00860544773,8.58989072072,334.0
01:00,12.7314899694,0.839773020959,0.734943480221,364.0
01:01,18.1387698393,1.10371839862,15.140521012,328.0
01:02,20.5097531395,1.05626867637,5.15193782027,337.0
01:03,17.9110873453,1.00090485492,13.5339068586,371.0
01:04,21.7788676937,0.989541392923,18.3805516602,390.0
01:05,15.7450546259,1.19658417395,3.729321095,370.0
01:06,19.5051896803,1.07086603432,11.8420668403,375.0
01:07,20.3914104557,1.08229133547,8.50540152237,333.0
01:08,18.6041889424,0.830002094908,0.0914735306144,345.0
01:09,20.2179714582,1.06993948464,2.65223144297,377.0
01:10,15.9404665556,1.21454601447,18.9501540845,389.0
01:11,18.1152670008,1.10938019472,13.9909866844,391.0
01:12,19.6782974959,1.15374535409,9.38284403698,382.0
01:13,17.1755591081,0.999231349098,18.6207958828,349.0
01:14,18.8467773582,1.08658600521,18.0028898827,315.0
01:15,16.9909898957,1.03840508676,12.0145705336,333.0
